date,open,high,low,close,volume
2025-02-28,382.55,382.55,353.5,361.0,2525490
2025-03-03,357.6,374.1,355.2,369.8,1276355
2025-03-04,365.95,375.95,358.1,375.0,613361
2025-03-05,378.55,390.0,377.0,387.0,729720
2025-03-06,387.0,398.7,387.0,392.6,561957
2025-03-07,395.6,400.0,388.05,390.75,626720
2025-03-10,390.95,392.55,372.55,375.05,416948
2025-03-11,370.5,371.45,359.0,361.95,851880
2025-03-12,363.9,367.75,348.4,350.85,611762
2025-03-13,353.35,363.3,348.35,358.9,899233
2025-03-17,359.05,362.25,341.95,346.7,1069720
2025-03-18,347.95,359.05,346.5,354.65,568764
2025-03-19,358.85,359.9,352.15,355.3,835301
2025-03-20,355.3,381.2,352.7,364.65,3348773
2025-03-21,361.0,376.55,358.35,375.1,1028764
2025-03-24,382.8,395.3,378.5,380.05,1249111
2025-03-25,380.05,384.7,366.2,370.05,899738
2025-03-26,371.0,373.25,357.55,360.05,573692
2025-03-27,367.65,367.65,352.45,356.35,1017090
2025-03-28,356.35,362.9,343.0,345.7,690221
2025-04-01,345.0,358.6,343.55,348.6,651868
2025-04-02,350.95,356.25,345.55,351.55,437040
2025-04-03,349.7,353.95,340.0,341.2,864628
2025-04-04,342.25,344.15,318.35,321.45,899384
2025-04-07,291.95,305.0,286.4,301.1,1533765
2025-04-08,306.05,312.75,301.8,305.5,3333308
2025-04-09,305.5,314.4,300.0,312.7,719411
2025-04-11,316.9,324.7,309.9,315.55,952772
2025-04-15,323.0,334.15,319.3,333.4,581373
2025-04-16,334.9,338.2,331.75,335.05,410869
2025-04-17,300.0,317.4,288.0,314.7,12278692
2025-04-21,317.0,322.65,312.1,321.0,1748787
2025-04-22,321.0,326.95,319.9,321.2,758971
2025-04-23,325.0,331.15,322.0,327.9,1772381
2025-04-24,329.15,374.4,327.0,355.5,28371145
2025-04-25,358.0,361.0,334.2,337.9,5606055
2025-04-28,337.9,366.0,328.4,362.75,16000513
2025-04-29,364.6,379.0,364.6,376.0,8524645
2025-04-30,376.0,447.25,369.3,421.55,39994145
2025-05-02,419.0,464.2,403.2,420.65,57192479
2025-05-05,424.55,445.0,416.85,422.3,17394478
2025-05-06,429.7,436.0,381.0,385.3,13932874
2025-05-07,385.3,406.9,371.35,397.2,15475979
2025-05-08,407.5,415.0,386.45,392.6,14760867
2025-05-09,383.05,389.0,362.7,365.7,7943090
2025-05-12,387.0,401.95,385.35,396.6,6196086
2025-05-13,399.45,409.3,388.9,400.0,7062409
2025-05-14,402.0,404.1,390.65,392.95,3524326
2025-05-15,396.9,404.0,393.65,397.5,2760316
2025-05-16,401.6,406.35,396.05,397.8,2234035
2025-05-19,399.05,402.4,387.65,389.0,2260539
2025-05-20,394.2,397.0,389.65,392.35,2083749
2025-05-21,400.0,403.8,389.7,394.95,2403440
2025-05-22,394.95,396.75,387.75,390.65,1047439
2025-05-23,392.5,402.3,386.1,394.8,2754101
2025-05-26,397.75,409.9,393.55,399.6,2753419
2025-05-27,399.8,403.0,395.25,401.25,1200584
2025-05-28,404.8,409.2,401.1,404.75,1494989
2025-05-29,406.95,419.8,402.05,404.5,1849268
2025-05-30,405.6,411.0,402.7,409.05,1477168
2025-06-02,409.1,413.6,403.3,412.05,1006196
2025-06-03,412.05,415.75,408.05,414.25,1288840
2025-06-04,414.25,420.5,410.55,412.35,1296812
2025-06-05,413.6,416.4,408.0,409.45,744518
2025-06-06,411.0,411.9,405.0,410.15,665390
2025-06-09,413.0,423.3,411.55,414.7,1460814
2025-06-10,418.0,431.5,416.3,417.7,2305821
2025-06-11,425.0,431.35,414.5,428.25,3494408
2025-06-12,431.0,431.0,413.0,414.7,1576339
2025-06-13,402.45,417.0,399.0,411.3,1288504
2025-06-16,409.95,427.05,406.55,425.15,1486589
2025-06-17,425.15,430.0,417.2,419.3,967096
2025-06-18,419.0,423.45,414.05,415.8,641847
2025-06-19,418.0,419.0,399.0,401.95,971695
2025-06-20,402.0,410.0,395.0,397.9,2006716
2025-06-23,395.95,401.0,393.05,394.6,700469
2025-06-24,399.2,401.85,391.0,393.55,1112404
2025-06-25,396.0,419.85,395.0,413.65,3474332
2025-06-26,415.0,418.65,408.9,410.6,672427
2025-06-27,412.5,431.0,411.0,412.35,3294954
2025-06-30,416.05,416.9,409.0,410.05,795062
2025-07-01,412.1,412.7,405.1,409.9,743346
2025-07-02,411.95,413.2,404.1,405.6,632891
2025-07-03,407.05,410.0,404.35,406.15,567792
2025-07-04,407.5,411.7,404.8,410.5,569668
2025-07-07,410.4,417.8,407.0,417.1,764177
2025-07-08,417.1,452.8,416.1,439.95,16248165
2025-07-09,438.5,443.15,429.0,433.65,1897420
2025-07-10,434.5,438.9,425.45,430.3,1006771
2025-07-11,430.8,433.75,424.55,430.05,735371
2025-07-14,430.4,434.15,425.05,432.9,667289
2025-07-15,432.9,438.3,432.4,435.9,768529
2025-07-16,435.9,447.3,433.0,436.3,796139
2025-07-17,438.3,440.0,431.8,437.45,573162
2025-07-18,439.0,439.95,431.6,437.05,531083
2025-07-21,438.0,440.1,431.0,438.05,411197
2025-07-22,440.0,442.8,427.5,430.05,528995
2025-07-23,429.6,431.7,416.85,428.2,572332
2025-07-24,430.0,433.15,426.0,430.3,479379
2025-07-25,429.9,429.9,410.05,413.0,508570
2025-07-28,413.9,413.9,405.45,408.0,561820
2025-07-29,407.0,409.95,399.15,408.25,562882
2025-07-30,408.25,417.85,407.05,413.95,539930
2025-07-31,411.0,411.0,386.55,391.95,1961329
2025-08-01,392.0,395.95,360.2,364.65,1847201
2025-08-04,366.95,368.85,357.0,359.1,1750403
2025-08-05,359.1,363.85,353.4,355.4,887928
2025-08-06,355.5,357.0,343.0,347.05,909624
2025-08-07,345.2,350.6,341.4,349.6,509293
2025-08-08,349.9,351.95,341.0,342.9,328008
2025-08-11,343.0,344.65,327.8,329.75,1959465
2025-08-12,331.0,381.0,329.15,373.6,40992949
2025-08-13,377.0,385.0,353.75,367.45,9622633
2025-08-14,367.0,372.4,357.0,359.7,2373807
2025-08-18,362.0,362.8,348.0,356.6,2164296
2025-08-19,359.4,360.0,354.0,355.9,683463
2025-08-20,359.0,377.0,356.95,372.35,3067412
2025-08-21,373.9,383.4,371.9,377.15,1946986
2025-08-22,374.0,377.9,368.6,372.8,757145
2025-08-25,376.65,401.5,375.05,381.35,6821231
2025-08-26,381.7,383.75,362.35,364.25,1362867
2025-08-28,363.95,366.2,356.0,358.2,825519
2025-08-29,360.3,364.9,348.15,350.85,1196113
2025-09-01,352.05,363.95,352.0,354.0,1140276
2025-09-02,355.65,359.0,353.65,356.3,559540
2025-09-03,357.4,362.0,355.3,359.55,508808
2025-09-04,362.0,369.0,358.65,359.95,894696
2025-09-05,359.95,363.3,356.15,359.0,426250
2025-09-08,359.0,365.0,354.0,355.4,466663
2025-09-09,358.25,373.0,355.15,369.5,1434358
2025-09-10,370.0,381.5,369.1,372.4,1327947
2025-09-11,372.4,380.15,368.55,379.25,769004
2025-09-12,384.95,387.5,379.25,382.6,725234
2025-09-15,383.5,383.5,377.5,379.9,390661
2025-09-16,381.45,384.0,375.9,378.8,323564
2025-09-17,380.4,398.7,379.35,390.2,1653370
2025-09-18,393.0,421.5,391.2,400.5,11888695
2025-09-19,400.45,400.6,392.0,394.1,1080982
2025-09-22,387.95,396.0,381.8,392.65,1540457
2025-09-23,392.95,403.0,385.6,386.65,1078881
2025-09-24,386.05,387.5,372.5,376.85,1052592
2025-09-25,374.75,376.45,364.0,368.3,1051147
2025-09-26,369.9,369.9,354.0,357.8,558274
2025-09-29,359.3,361.0,340.7,343.15,1498093
2025-09-30,345.1,366.75,339.35,346.1,7206977
2025-10-01,347.95,352.2,342.65,348.3,1038016
2025-10-03,348.7,351.55,346.5,349.6,565501
2025-10-06,350.15,358.95,348.9,351.8,1036606
2025-10-07,353.5,357.2,350.2,352.6,573045
2025-10-08,354.3,384.7,351.35,370.7,9549088
2025-10-09,371.0,376.9,365.55,374.9,1237084
2025-10-10,376.9,376.9,367.55,368.7,530187
2025-10-13,367.5,368.0,361.0,363.35,442182
2025-10-14,364.8,368.95,358.0,363.5,452502
2025-10-15,366.0,375.0,361.55,370.35,860356
2025-10-16,369.5,372.0,366.25,370.8,501011
2025-10-17,370.0,370.0,363.0,366.9,323596
2025-10-20,366.9,368.7,358.0,359.6,523036
2025-10-21,359.1,367.8,359.0,363.4,134193
2025-10-23,368.25,392.3,365.0,373.1,7382188
2025-10-24,374.0,385.65,370.0,371.65,1798372
2025-10-27,372.7,376.0,370.15,374.2,597499
2025-10-28,374.2,374.6,366.3,370.5,352670
2025-10-29,370.5,375.6,368.5,374.4,316980
2025-10-30,374.05,376.35,370.15,372.65,216295
2025-10-31,372.05,374.55,365.4,369.85,281298
2025-11-03,370.25,374.5,369.05,371.7,266050
2025-11-04,371.7,376.0,368.4,374.25,296116
2025-11-06,372.5,375.0,363.1,365.85,323191
2025-11-07,363.0,369.5,358.0,367.8,301377
2025-11-10,367.75,379.0,365.1,376.15,728662
2025-11-11,376.2,378.0,370.15,371.8,299607
2025-11-12,373.8,396.5,372.0,392.8,2801504
2025-11-13,393.05,400.5,386.0,389.4,995358
2025-11-14,390.0,390.0,364.0,374.15,2305036
2025-11-17,374.0,375.0,368.05,370.95,874111
2025-11-18,370.1,370.95,363.6,365.5,623100
2025-11-19,366.5,376.9,362.6,370.05,1382029
2025-11-20,371.05,372.45,362.1,364.95,635123
2025-11-21,364.95,365.9,356.25,358.05,375039
2025-11-24,358.25,364.5,358.0,360.3,650417
2025-11-25,362.0,364.0,355.95,357.95,345435
2025-11-26,360.45,361.45,356.1,360.4,375441
2025-11-27,362.85,363.05,355.55,357.05,302290
2025-11-28,357.95,365.0,354.4,357.4,774003
2025-12-01,358.55,364.2,357.2,358.8,313926
2025-12-02,360.0,360.3,349.45,350.1,660702
2025-12-03,352.05,372.0,351.9,364.45,7681554
2025-12-04,365.0,374.8,363.75,365.55,1934702
2025-12-05,365.6,365.8,357.1,361.2,668416
2025-12-08,361.4,363.1,351.2,354.75,453702
2025-12-09,355.4,355.9,345.0,348.85,493734
2025-12-10,351.7,355.7,346.3,347.85,431089
2025-12-11,350.0,352.9,341.2,351.2,538827
2025-12-12,354.5,354.5,348.95,350.05,433815
2025-12-15,350.0,350.1,346.75,349.4,226593
2025-12-16,350.5,350.5,341.9,344.55,616427
2025-12-17,344.55,345.15,340.5,341.55,320016
2025-12-18,340.8,344.0,338.2,339.7,325433
2025-12-19,342.9,345.9,341.1,344.6,498925
2025-12-22,348.35,357.8,348.15,351.85,720109
2025-12-23,354.0,366.0,350.75,362.75,1305993
2025-12-24,361.8,362.6,354.9,359.2,683228
2025-12-26,360.05,370.85,356.55,366.65,936745
2025-12-29,366.65,367.45,353.3,356.9,700300
2025-12-30,356.3,363.5,352.5,357.25,731583
2025-12-31,359.0,364.85,357.85,359.85,233015
